"","0","35400"
"isrC",373.236,243.012
"mcaS",608.361,393.504
"prfB",5419.84,6840.61
"thrL",1030.89,939.336
"thrA",1738.92,2151.57
"thrB",978.323,1260.99
"thrC",972.385,866.832
"yaaX",796.485,932.324
"yaaA",496.348,402.686
"yaaJ",265.836,151.443
"talB",3371.2,4852.65
"mog",1699.55,1805.31
"satP",2147.48,1694.98
"mbiA",278.048,101.585
"yaaW",488.842,311.53
"yaaI",313.885,167.663
"dnaK",3760.82,1971.66
"dnaJ",2175.55,941.781
"insL1",2501.92,1902.9
"hokC",357.705,245.061
"sokC",1003.31,727.776
"nhaA",613.669,609.407
"nhaR",936.849,785.533
"insB1",2215.58,1660.4
"insA1",5721.87,7528.98
"rpsT",6650.22,6942.79
"yaaY",222.864,105.365
"ribF",3716.18,4003.24
"ileS",3801.64,3563.26
"lspA",6255.64,6226.59
"fkpB",2344.34,2622.58
"ispH",1702.15,1983.65
"rihC",546.219,302.775
"dapB",655.811,938.726
"carA",1142.18,1513.68
"carB",652.891,713.125
"caiF",357.896,219.31
"caiE",499.495,243.059
"caiD",274.017,133.549
"caiC",339.039,227.446
"caiB",316.816,238.304
"caiA",490.985,258.946
"caiT",457.731,193.7
"fixA",204.689,109.26
"fixB",357.425,243.589
"fixC",314.658,152.78
"fixX",316.796,93.9434
"yaaU",256.083,66.9959
"kefF",340.675,335.754
"kefC",226.83,230.261
"folA",2505.36,3067.25
"apaH",507.615,539.222
"apaG",647.791,1246.37
"rsmA",964.143,1906.61
"pdxA",872.678,1613.15
"surA",3209.04,4963.14
"lptD",1265.87,1934.67
"djlA",1920,2687.18
"yabP",899.475,1450.27
"yabQ",1552.67,2525.43
"rluA",1919.5,1839.46
"rapA",3275.63,3096.7
"polB",612.287,225.425
"araD",264.21,123.189
"araA",313.109,155.183
"araB",380.779,154.977
"araC",492.46,281.505
"yabI",1479.44,1165.65
"thiQ",430.425,319.847
"thiP",492.409,310.432
"thiB",832.273,782.242
"sgrR",292.898,269.389
"setA",1066.62,915.477
"leuD",442.843,353.048
"leuC",645.421,554.34
"leuB",279.654,232.638
"leuA",607.829,589.799
"leuL",312.892,230.951
"leuO",275.967,145.8
"ilvI",278.899,274.806
"ilvH",415.574,248.009
"cra",1013.5,891.428
"mraZ",2920.46,3127.23
"rsmH",1705.96,2155.84
"ftsL",1369.86,1618.42
"ftsI",1251.8,1198.74
"murF",887.43,1305.34
"mraY",1171.77,1772.1
"murD",1172.91,1797.12
"ftsW",1349.95,1624.85
"murG",2604.35,2641.37
"murC",1930.34,2108.24
"ddlB",4467.49,4076.67
"ftsQ",5034.99,3872.32
"ftsA",4017.94,3495.47
"ftsZ",4143.06,4198.43
"lpxC",6395.32,6465.44
"secM",3603.18,4448.52
"secA",1738.06,2487.53
"mutT",514.47,667.84
"yacG",1865.95,2572.56
"zapD",1786.76,2404.5
"coaE",1975.69,2640.95
"guaC",1545.92,1005.56
"hofC",569.116,235.164
"hofB",335.183,185.28
"ppdD",403.556,170.231
"nadC",503.872,396.476
"ampD",488.341,470.951
"ampE",609.025,380.212
"aroP",703.461,640.081
"pdhR",5659.9,5970.01
"aceE",8995.99,11260.7
"lpd",6539.09,9358
"yacH",240.93,105.989
"acnB",1841.26,2618.22
"yacL",933.252,680.328
"speD",988.183,1947.69
"speE",2266.91,3193.14
"cueO",399.133,363.961
"gcd",874.378,857.898
"hpt",2411.46,2676.5
"can",1308.82,1506.59
"yadH",1552.15,2132.17
"yadI",647.242,485.022
"panD",1755.34,2136.26
"rpnC",360.348,150.33
"panC",1341.99,1412.82
"panB",1266.25,2039.67
"yadC",708.382,467.092
"yadK",394.879,225.131
"yadL",283.271,210.055
"yadM",264.685,187.674
"htrE",231.733,140.681
"yadV",337.508,158.332
"yadN",391.368,204.775
"folK",523.801,485.845
"pcnB",4898.82,5915.43
"gluQ",957.504,822.109
"dksA",3303.11,3082.07
"sfsA",534.587,756.696
"thpR",163.322,380.16
"hrpB",443.499,596.39
"mrcB",1387.83,1171.46
"fhuA",1031.59,759.516
"fhuC",678.981,620.11
"fhuD",400.007,276.37
"fhuB",260.569,200.88
"hemL",1506.97,1891.68
"clcA",766.61,634.334
"erpA",3781.15,3507.09
"yadS",1229.65,1044.21
"btuF",702.876,689.98
"mtn",2157.74,2133.01
"dgt",482.824,397.189
"degP",552.95,626.674
"cdaR",475.23,241.977
"yaeH",682.317,515.162
"yaeI",702.634,374.782
"dapD",1897.16,2666.75
"glnD",631.709,663.086
"map",1959.32,2857.09
"tff",19201.1,17327.5
"rpsB",11825.6,13664.2
"tsf",9653.15,12505.6
"pyrH",3103.13,4015.35
"frr",4998.4,5895.13
"dxr",1307.35,1115.21
"ispU",3748.03,3724.82
"cdsA",2708.39,2963.46
"rseP",4924.52,5274.21
"bamA",5151.89,5600.04
"skp",5306.53,7326.44
"lpxD",3711.21,4357.66
"fabZ",7573.43,8065.77
"lpxA",4290.43,3348.64
"lpxB",3110.35,2177.81
"rnhB",2483.02,1854.14
"dnaE",1617.14,1433.26
"accA",3924.37,4508.58
"ldcC",762.62,352.06
"yaeR",766.534,629.374
"tilS",1671.11,1702.99
"rof",837.637,832.347
"yaeP",642.438,713.427
"arfB",977.397,1503.39
"nlpE",1053.04,1533.9
"yaeF",324.87,165.13
"proS",3493.9,5725.37
"trmO",704.18,1058.42
"rcsF",2931.03,4248.22
"metQ",2897.51,3932.03
"metI",2528.3,3664.36
"metN",2578.55,3921.63
"gmhB",1669.4,1544.15
"rrsH",19046.7,17512.6
"rrfH",12120.9,9893.63
"dkgB",782.92,530.427
"yafC",605.461,580.256
"yafD",867.066,756.256
"yafE",470.877,382.633
"mltD",6855.82,4612.35
"gloB",640.07,453.27
"yafS",554.47,401.654
"rnhA",770.03,855.732
"dnaQ",1346.97,1732.99
"yafT",583.754,623.289
"yafU",417.009,179.19
"yafV",264.655,206.18
"ivy",2273.27,3968.6
"fadE",507.134,241.403
"gmhA",1118.87,1583.85
"dpaA",4033.22,5588.21
"yafQ",0.606457,0.937448
"dinJ",14562.3,0.508055
"yafL",362.657,191.576
"rayT",426.46,447.624
"lfhA",215.561,109.413
"lafU",209.512,108.594
"dinB",380.506,184.456
"yafN",432.868,363.8
"yafO",439.579,368.944
"yafP",352.086,372.5
"ykfJ",303.522,155.751
"prfH",256.788,137.588
"pepD",1315.16,1234.42
"gpt",3342.22,4532.53
"frsA",769.008,779.776
"crl",1322.36,1688.63
"phoE",310.384,248.361
"proB",2285.35,2544.6
"proA",1629.18,2320.04
"ykfI",421.108,240.838
"yafW",622.052,288.595
"ykfG",687.205,303.147
"yafX",567.66,180.322
"ykfF",565.119,172.109
"ykfB",586.046,519.149
"yafY",404.485,199.152
"yafZ",446.207,157.556
"ykfA",731.132,400.788
"perR",538.091,262.966
"ykfC",600.058,261.972
"insH1",7910.98,7969.7
"mmuP",299.971,131.308
"mmuM",615.823,338.228
"afuC",671.4,302.227
"afuB",676.179,299.06
"yagB",498.093,488.71
"yagA",367.472,162.077
"yagE",198.81,94.7218
"yagF",334.087,220.379
"yagG",178.655,71.0098
"yagH",269.633,178.218
"xynR",1527.22,976.776
"argF",604.944,313.348
"yagJ",483.301,297.842
"yagK",409.824,278.401
"yagL",321.16,303.984
"yagM",195.392,75.9566
"yagN",1683.02,1483.95
"intF",918.873,1149.38
"yagP",269.236,116.204
"paoD",273.008,78.0163
"paoC",249.238,108.817
"paoB",206.257,83.7499
"paoA",205.512,134.173
"yagU",1264.24,2119.64
"ykgJ",729.969,760.205
"ecpE",303.34,184.022
"ecpD",384.06,238.545
"ecpC",165.622,67.9269
"ecpB",287.688,74.22
"ecpA",358.584,146.086
"matA",179.104,69.9312
"ykgL",645.371,374.283
"ykgM",284.065,108.355
"eaeH",158.725,59.2779
"insE1",2858.23,1907.39
"insF1",1007.43,562.11
"ykgA",739.926,418.24
"rclC",351.218,340.967
"rclB",226.185,273.368
"rclA",290.292,170.208
"rclR",284.828,130.394
"ykgE",362.19,227.869
"ykgF",317.637,170.973
"ykgG",391.927,244.945
"ykgH",227.353,114.741
"betA",363.085,245.973
"betB",247.011,136.925
"betI",476.799,280.177
"betT",299.651,112.525
"pdeL",1562.3,3177.33
"yahB",356.205,191.98
"yahC",272.579,104.297
"yahD",164.648,96.809
"yahE",330.695,133.508
"yahF",196.902,153.693
"yahG",434.783,222.532
"yahI",252.866,131.031
"yahJ",415.811,269.973
"yahK",341.891,150.008
"yahL",200.131,105.905
"yahM",1926.03,1594.12
"yahN",183.027,106.832
"prpR",194.27,80.2164
"prpB",421.415,140.039
"prpC",322.04,218.94
"prpD",170.338,101.328
"prpE",232.077,105.969
"codB",598.159,604.004
"codA",567.79,752.344
"cynR",404.391,185.585
"cynT",289.797,160.03
"cynS",257.307,201.996
"cynX",266.322,130.137
"mhpR",351.961,184.464
"mhpA",214.034,89.7066
"mhpB",326.627,157.093
"mhpC",194.987,86.5155
"mhpD",270.362,106.322
"mhpF",193.286,139.125
"mhpE",241.513,156.339
"mhpT",260.529,131.95
"yaiL",1440.94,1083.41
"frmB",727.707,831.783
"frmA",2012.89,2087.08
"frmR",2153.39,2282.41
"yaiO",347.441,206.833
"insC1",2324.67,1951.51
"insD7",2957.51,1941.57
"yaiP",212.827,117.346
"yaiS",253.107,139.112
"tauA",296.825,103.101
"tauB",265.371,105.374
"tauC",156.315,74.7795
"hemB",1169.85,1061.58
"iprA",257.211,109.981
"sbmA",563.015,433.154
"yaiW",773.733,590.984
"yaiY",640.78,616.057
"yaiZ",482.427,261.979
"ddlA",884.454,1080.9
"iraP",1122.58,2209.17
"phoA",1112.41,1066.04
"psiF",427.166,368.971
"dgcC",320.82,133.169
"proC",805.079,944.401
"yaiI",687.943,854.59
"aroL",965.536,1057.85
"yaiA",899.567,876.265
"aroM",550.189,550.177
"ppnP",1460.34,1723.01
"ykiA",423.79,412.853
"rdgC",1426.02,1530.17
"araJ",518.352,281.995
"sbcC",624.796,505.415
"sbcD",685.41,862.948
"phoB",1869.86,1158.31
"phoR",840.608,386.713
"brnQ",1402.09,1508.54
"proY",1749.08,1687.15
"malZ",347.5,258.5
"acpH",684.707,595.927
"queA",3595.22,3258.8
"tgt",3960.02,4622.56
"yajC",5243.88,6378.8
"secD",3732.49,4015.21
"secF",3449.66,3870.53
"yajD",1768.92,1279.91
"tsx",1078.22,2025.13
"nrdR",2990.22,3163.8
"ribD",2021.46,1889.08
"ribE",4489.7,4993.42
"nusB",2898.73,3288.3
"thiL",728.201,924.596
"pgpA",1218.57,1282.06
"yajO",821.678,615.353
"dxs",1398.04,1236.7
"ispA",2251.32,2046.55
"xseB",3117.24,3268.53
"thiI",1395.87,1373.95
"yajL",385.691,360.964
"panE",1125.92,1047.68
"yajQ",2156.06,2229.74
"yajR",633.629,373.921
"cyoE",1206.89,3403.29
"cyoD",1554.77,3898.76
"cyoC",1683.82,4158.67
"cyoB",2647.95,5663.36
"cyoA",3851.48,7119.61
"ampG",884.896,910.959
"bolA",788.595,595.528
"tig",10057.9,11125
"clpP",3993.3,4140.05
"clpX",3032.7,3382
"lon",1746.57,1763.15
"hupB",3495.42,4223.51
"ppiD",4378.17,5733.88
"ybaV",637.422,502.246
"fadM",569.793,338.764
"queC",906.837,805.601
"ybaE",149.545,68.2248
"cof",925.475,967.165
"mdlA",466.439,298.222
"mdlB",579.626,536.61
"glnK",315.1,107.164
"amtB",301.771,191.236
"tesB",830.053,1127.34
"ybaY",313.55,538.93
"ybaZ",279.684,172.043
"ffs",5198.77,2548.21
"ybaA",931.321,320.409
"pdeB",440.117,273.907
"ylaC",1693.29,2044.03
"maa",1437.59,1641.14
"hha",3142.77,4526.51
"tomB",2974.45,3336.55
"acrA",3688.32,4320.95
"acrR",818.544,460.198
"mscK",886.513,969.843
"ybaM",402.345,279.552
"priC",649.805,634.975
"ybaN",910.225,638.057
"apt",3443.51,3856.59
"dnaX",1690.32,1964.09
"ybaB",6571.69,8298.5
"recR",3078.29,5376.73
"htpG",1142.34,1149.65
"adk",3948.4,6162.63
"hemH",932.568,612.237
"aes",321.215,137.089
"gsk",1241.3,1122.43
"ybaL",1530.39,1429.92
"fsr",404.858,230.23
"ushA",907.419,745.91
"ybaK",531.751,456.945
"ybaP",268.742,193.656
"ybaQ",484.984,278.487
"copA",339.749,238.506
"glsA",460.985,211.109
"ybaT",290.321,121.581
"cueR",1449.69,984.794
"ybbJ",574.799,664.994
"fetA",453.878,495.565
"fetB",433.349,493.485
"cnoX",1311.84,1399.09
"ybbO",1549.78,1377.2
"tesA",841.543,725.283
"ybbA",683.217,390.515
"ybbP",231.849,132.177
"rhsD",390.557,357.028
"ybbC",300.552,441.538
"ylbH",469.165,353.519
"ylbG",544.019,343.692
"selU",764.415,514.761
"allS",410.788,193.468
"allA",493.293,324.328
"allR",829.612,769.72
"gcl",342.167,129.789
"hyi",174.512,67.6197
"glxR",227.271,128.312
"allB",303.633,307.46
"ybbY",220.505,102.471
"glxK",207.226,91.8178
"allE",376.399,373.144
"allC",187.119,86.7504
"allD",275.229,93.3321
"fdrA",360.252,164.398
"ylbF",252.235,76.3489
"ybcF",256.389,145.574
"purK",549.094,811.796
"purE",743.529,952.877
"lpxH",798.042,723.094
"ppiB",3154.84,4622.57
"cysS",2372.42,2425.07
"ybcJ",754.194,669.91
"folD",1146.83,1504.64
"sfmA",339.36,133.402
"sfmC",241.387,86.4457
"sfmD",232.024,122.32
"sfmH",218.854,102.635
"sfmF",161.041,65.8372
"fimZ",410.752,162.78
"intD",792.895,603.859
"exoD",339.638,153.804
"renD",69.3523,155.743
"emrE",411.297,546.337
"ybcK",331.806,147.27
"ybcL",279,298.153
"ybcM",409.704,798.235
"ybcN",142.645,34.5819
"ninE",370.076,107.345
"ybcO",310.535,100.443
"quuD",249.59,139.235
"nmpC",509.061,1561.13
"essD",398.075,341.734
"rrrD",438.325,243.355
"rzpD",377.284,618.476
"ybcV",234.419,101.14
"ybcW",667.383,736.022
"nohD",706.774,219.198
"tfaD",414.351,178.628
"ybcY",923.021,571.892
"tfaX",286.972,192.599
"appY",479.945,821.469
"ompT",2175.03,7523.82
"envY",178.111,73.6237
"nfrA",537.295,491.486
"nfrB",595.461,408.004
"cusS",784.83,407.243
"cusR",949.382,528.062
"cusC",208.475,78.0769
"cusF",184.814,249.928
"cusB",270.436,214.805
"cusA",456.921,227.275
"pheP",385.148,436.188
"ybdG",877.843,786.78
"nfsB",1235.49,1316.93
"ybdF",612.843,505.317
"ybdJ",592.646,662.541
"ybdK",191.453,42.4769
"hokE",201.917,90.254
"entD",389.36,196.161
"fepA",427.461,199.504
"fes",305.364,150.173
"entF",386.575,173.073
"fepE",244.848,76.4993
"fepC",362.894,127.922
"fepG",236.509,166.114
"fepD",479.849,258.577
"entS",312.626,143.382
"fepB",269.219,147.256
"entC",273.033,128.085
"entE",120.612,49.5497
"entB",297.493,117
"entA",285.978,232.452
"entH",391.694,251.794
"cstA",590.603,515.431
"hcxA",363.999,479.151
"ybdL",362.237,221.973
"ybdM",281.528,172.823
"ybdN",375.912,181.582
"ybdO",317.748,146.285
"dsbG",625.621,599.921
"ahpC",6242.68,5448.37
"uspG",1903.45,2057.11
"ybdR",548.415,329.426
"rnk",502.791,544.235
"rna",569.82,653.986
"citT",275.898,87.2571
"citG",254.55,93.3791
"citX",312.446,119.263
"citF",276.272,113.644
"citE",346.702,106.665
"citD",367.079,112.161
"dpiB",519.729,449.597
"dpiA",569.108,367.257
"dcuC",396.691,192.554
"pagP",517.394,381.901
"cspE",1037.99,5296.36
"crcB",965.225,1326.31
"tatE",2093.36,3969.1
"lipA",2067.04,2345.41
"ybeF",359.029,171.295
"lipB",1025.77,1046.76
"ybeD",2165.64,2180.23
"dacA",1451.75,2561.26
"rlpA",1488.86,1824.17
"mrdB",1157.35,1048.64
"mrdA",2298.68,1734.72
"rlmH",5637.74,4773.81
"rsfS",8641.64,7732.21
"cobC",472.507,484.48
"nadD",1256.54,1414.58
"holA",1135.64,1179.21
"lptE",2799.89,3031.92
"leuS",3966.49,3627.12
"ybeL",213.357,251.677
"ybeQ",261.616,152.618
"ybeR",341.438,148.1
"djlB",188.895,56.5088
"ybeT",208.7,98.2509
"ybeU",254.751,182.737
"djlC",387.279,273.036
"hscC",402.344,236.093
"rihA",270.871,187.298
"gltL",573.675,588.379
"gltK",326.483,222.934
"gltJ",335.372,285.261
"gltI",667.7,833.532
"lnt",510.614,425.649
"ybeX",2016.9,2131.23
"ybeY",1100.59,1163.75
"ybeZ",1475.23,1523.64
"miaB",2556.9,3457.73
"ubiF",1061.8,1045.29
"asnB",520.922,393.341
"umpH",1402.02,2165.22
"nagC",1229.36,1206.09
"nagA",692.143,609.642
"nagB",399.671,334.363
"nagE",313.292,374.368
"glnS",2255.58,2603.25
"chiP",186.001,74.8559
"chiQ",268.404,133.514
"fur",7937.28,9619.03
"fldA",3859.64,5183.19
"ybfE",3433.87,3981.48
"ybfF",398.984,670.964
"seqA",2747.28,2955.69
"pgm",2576.35,3503.16
"ybfP",377.371,252.107
"ybfG",443.182,176.727
"potE",510.042,248.164
"speF",265.633,92.8828
"kdpE",913.295,586.675
"kdpD",1046.81,697.016
"kdpC",567.317,371.622
"kdpB",304.168,320.38
"kdpA",197.334,104.635
"ybfA",518.337,701.619
"rhsC",361.392,235.87
"ybfB",265.582,271.332
"ybfO",282.582,179.951
"ybfC",314.409,225.473
"ydcC",2138.37,1039.68
"ybfD",541.294,230.567
"ybgA",241.058,106.321
"phr",376.302,371.625
"ybgI",914.059,1081.67
"pxpB",671.843,649.322
"pxpC",848,832.502
"pxpA",745.871,731.191
"nei",598.57,401.011
"abrB",454.369,167.254
"ybgO",413.648,163.543
"ybgP",337.691,111.991
"ybgQ",320.232,121.252
"ybgD",429.421,150.158
"gltA",279.367,185.711
"sdhC",303.466,340.477
"sdhD",516.127,698.578
"sdhA",459.922,612.267
"sdhB",699.91,1416.28
"sucA",540.082,753.2
"sucB",868.281,1337.69
"sucC",748.747,1149.71
"sucD",768.04,880.619
"mngR",780.095,689.657
"mngA",222.505,82.2109
"mngB",525.342,312.606
"cydA",7440.66,8001.7
"cydB",6651.26,8292.13
"ybgE",2202.44,2533.63
"ybgC",3755.92,3796.2
"tolQ",3748.61,4098.77
"tolR",3376.49,3245.59
"tolA",5269.73,5291.58
"tolB",6389.93,8582.12
"pal",5979.92,7962.26
"cpoB",4923.56,6041.44
"nadA",435.593,285.466
"pnuC",373.825,178.922
"ybgS",236.103,112.381
"aroG",799.942,802.904
"gpmA",1324.28,2099.47
"galM",1206.67,1232.43
"galK",728.463,995.311
"galT",459.701,377.036
"galE",498.727,517.807
"modF",268.955,129.884
"modE",725.837,785.315
"acrZ",1326.07,2370.09
"modC",601.222,764.837
"ybhA",812.298,884.473
"pgl",320.436,228.191
"ybhD",323.133,168.4
"ybhH",187.202,67.9226
"ybhI",212.496,77.4108
"ybhJ",474.69,256.307
"ybhC",2353.03,2768.73
"ybhB",475.615,459.442
"bioA",360.261,188.862
"bioF",156.238,74.9968
"bioD",330.29,124.759
"uvrB",3049.6,1463.37
"ybhK",890.44,693.91
"moaA",1073.4,705.263
"moaB",802.982,670.98
"moaC",611.155,557.599
"moaD",612.347,486.989
"moaE",500.598,449.885
"ybhL",826.123,900.904
"ybhM",585.169,400.775
"ybhN",268.319,141.994
"ybhP",447.79,192.085
"ybhQ",716.301,416.581
"ybhR",333.031,201.667
"ybhS",220.209,114.584
"ybhG",430.625,301.862
"cecR",580.438,224.484
"rhlE",3187.86,4069.18
"ybiA",448.914,178.546
"dinG",919.632,537.272
"ybiB",456.302,368.917
"hcxB",600.033,616.97
"ybiJ",2567.97,2475.8
"ybiI",239.238,127.074
"ybiX",280.755,129.627
"fiu",211.626,91.9195
"mcbA",225.633,113.232
"rlmF",2478.6,1544.04
"ybiO",514.407,221.062
"glnQ",2390.85,2094.93
"glnP",2492.78,2064.47
"glnH",5785.45,4319.82
"dps",2348.77,2817.55
"rhtA",460.044,298.47
"ompX",8227.48,10850.9
"opgE",662.116,819.724
"rybA",2251.79,1989.42
"mntR",828.237,1254.52
"ldtB",5304.43,6945.01
"ybiT",3612.18,3940.32
"ybiU",194.625,107.921
"ybiV",474.974,738.839
"ybiY",204.796,84.2633
"fsaA",297.364,185.728
"moeB",283.388,299.36
"moeA",651.579,886.307
"iaaA",655.956,535.808
"gsiA",557.098,269.343
"gsiB",380.428,209.563
"gsiC",369.257,189.221
"gsiD",269.51,212.246
"pdeI",350.314,363.325
"dgcI",259.326,307.354
"rimO",1818.55,1904.65
"bssR",278.346,105.941
"yliI",384.373,146.54
"gstB",500.24,637.971
"dacC",647.983,1017.71
"deoR",736.009,727.729
"ybjG",1290.49,2010.83
"mdfA",1571.36,1983.19
"ybjH",764.149,809.771
"ybjI",324.138,309.329
"ybjJ",355.404,248.96
"rcdA",245.343,144.365
"rybB",435.05,134.043
"ybjL",1458.59,1693.39
"ybjM",511.395,282.13
"grxA",1949.17,1495.44
"ybjC",1404.08,1752.21
"nfsA",833.137,1212.75
"rimK",651.616,626.293
"ybjN",1143.61,1378.21
"potF",242.454,60.1618
"potG",157.97,39.4057
"potH",237.027,100.328
"potI",271.16,159.832
"ybjO",625.251,568.243
"rlmC",1974.47,1338.37
"artJ",256.829,158.902
"artM",394.73,513.753
"artQ",543.911,865.695
"artI",459.077,907.229
"artP",670.153,1061.62
"ybjP",871.623,1026.16
"ybjQ",841.637,926.77
"amiD",870.051,801.864
"ybjT",1102.03,866.358
"ltaE",1202.88,1225.39
"poxB",312.238,148.473
"hcr",357.179,186.43
"hcp",377.611,173.816
"lysO",347.634,326.429
"aqpZ",444.749,433.989
"ybjD",391.38,295.159
"ybjX",3140.22,4138.04
